gladly_id,bosapin_handle,shopify_question,gladly_question,shopify_answer,gladly_answer,updated_time
zmzCsoO1QlOC5_qL1zx45Q,sap-origine,Est-ce que les sapins viennent de pépinières québécoises?,Est-ce que les sapins viennent de pépinières québécoises?,"<p>Bôsapin possède des terres sur le territoire québécois : à La Patrie, Milan, Béthanie, Carignan et Saint-Jean-Chrysostome. Nous cultivons, coupons et replantons les arbres de Noël pour permettre d'offrir un service de qualité chaque année.</p>","<div>Bôsapin possède des terres sur le territoire québécois : à La Patrie, Milan, Béthanie, Carignan et Saint-Jean-Chrysostome. Nous cultivons, coupons et replantons les arbres de Noël pour permettre d&#39;offrir un service de qualité chaque année.</div>",2025-06-29 22:30:39.561167
2_3Cz4PqRQqR7iwJM-qcLg,sap-pesticide,Utilisez-vous des pesticides?,Utilisez-vous des pesticides?,"<p>Nous n’arrosons pas nos sapins avec des pesticides, mais nous traitons le sol contre la mauvaise herbe. Nos sapins ne sont pas bios. Il nous arrive d’utiliser des produits chimiques au besoin, selon les recommandations de notre agronome.</p>","<div>Nous n’arrosons pas nos sapins avec des pesticides, mais nous traitons le sol contre la mauvaise herbe. Nos sapins ne sont pas bios. Il nous arrive d’utiliser des produits chimiques au besoin, selon les recommandations de notre agronome.</div>",2025-06-29 22:30:39.561167
J5wWNmMKQ4mUc6gCg1rxhQ,sap-choisir-moimeme,Est-ce que je peux venir choisir mon arbre moi-même?,Est-ce que je peux venir choisir mon arbre moi-même?,"<p>Vous pouvez désormais venir choisir votre arbre à l'autocueillette Bôsapin située à Saint-Jean-Chrysostome (secteur Lévis). Réservez votre place <a href=""https://autocueillette.bosapin.com/"" target=""_blank"" title=""Autocueillette sapin de Nöel"">ici</a> pour profiter de cette expérience unique!</p>","<div>Vous pouvez désormais venir choisir votre arbre à l&#39;autocueillette Bôsapin située à Saint-Jean-Chrysostome (secteur Lévis). Réservez votre place<a href=""https://autocueillette.bosapin.com/?ref=kpnamnoz&amp;sub_id=affiliate"" rel=""noopener noreferrer nofollow"" target=""_blank""> ici</a> pour profiter de cette expérience unique!</div>",2025-06-29 22:30:39.561167
Yut4PijVT1qfRuq5HDe9Uw,sap-location,Est-ce possible de louer des sapins pour un événement?,Est-ce possible de louer des sapins pour un événement?,"<p>Il n'est malheureusement pas possible de louer des sapins puisqu'une fois entré à la chaleur, le sapin perd de sa fraîcheur. </p>","<div>Il n&#39;est malheureusement pas possible de louer des sapins puisqu&#39;une fois entré à la chaleur, le sapin perd de sa fraîcheur.</div>",2025-06-29 22:30:39.561167
DQf-JWF0R3-raUiT8zgDdg,sap-support,Ai-je besoin d'un support pour mon sapin?,Ai-je besoin d'un support pour mon sapin?,"<p>Oui, les sapins ne viennent pas avec leur support. Vous pouvez ajouter un support à sapin à votre commande et il vous sera livré en même temps. Ces supports sont réutilisables chaque année. Un bon pied fait toute la différence! Pour vous procurez le vôtre, <a href=""/products/pied-a-sapin"" title=""/products/pied-a-sapin"">cliquez ici</a>.  </p>","<div>Oui, les sapins ne viennent pas avec leur support. Vous pouvez ajouter un support à sapin à votre commande et il vous sera livré en même temps. Ces supports sont réutilisables chaque année. Un bon pied fait toute la différence! Pour vous procurez le vôtre, <a href=""https://www.bosapin.com/products/pied-a-sapin"" rel=""noopener noreferrer nofollow"" target=""_blank"">cliquez ici</a>.</div>",2025-06-29 22:30:39.561167
acKRIUyMR5u45fCDzCOmVg,sap-support-sapin-mini,Ai-je besoin d'un support pour mon sapin miniature?,Ai-je besoin d'un support pour mon sapin miniature?,"<p>Non, le sapin miniature est déjà assemblé avec son support à sapin.</p>","<div>Non, le sapin miniature est déjà assemblé avec son support à sapin.</div>",2025-06-29 22:30:39.561167
AMKPIY73SDuOE_kleHbsjA,com-achat-annee-passee,Est-ce possible de savoir ce que j'ai acheté l'an dernier?,Est-ce possible de savoir ce que j'ai acheté l'an dernier?,"<p>Puisque nous avons un nouveau site web, seules les commandes réalisées depuis la saison de Noël 2022 sont affichées dans votre compte client. Vous pouvez vérifier vos courriels pour retrouver votre courriel de confirmation qui comprend les articles que vous aviez achetés. Autrement, vous pouvez nous contacter via le <a href=""/pages/contact?question=je-veux-savoir-ce-que-jai-commande-lan-dernier"" title=""/pages/contact?question=je-veux-savoir-ce-que-jai-commande-lan-dernier"">formulaire de contact</a>.</p>","<div>Puisque nous avons un nouveau site web, seules les commandes réalisées depuis la saison de Noël 2022 sont affichées dans votre compte client. Vous pouvez vérifier vos courriels pour retrouver votre courriel de confirmation qui comprend les articles que vous aviez achetés. Autrement, vous pouvez nous contacter via le <a href=""https://www.bosapin.com/pages/contact?question=je-veux-savoir-ce-que-jai-commande-lan-dernier"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a>.</div>",2025-06-29 22:30:39.561167
iwHiHXBlRdKzvNZC4zA_2w,com-credit-annee-passee,"J'ai un crédit de l'an dernier, comment l'utiliser?","J'ai un crédit de l'an dernier, comment l'utiliser?",<p>Passez votre commande et renvoyez-nous le courriel que vous avez reçu nous indiquant le crédit qui vous est dû. Nous vous rembourserons ensuite le crédit qui vous est dû.</p>,<div>Passez votre commande et renvoyez-nous le courriel que vous avez reçu nous indiquant le crédit qui vous est dû. Nous vous rembourserons ensuite le crédit qui vous est dû.</div>,2025-06-29 22:30:39.561167
dVoHOyI6QoOCCgJN6l-AjQ,com-pas-capable-de-passee-commande,Je ne suis pas capable de passer une commande,Je ne suis pas capable de passer une commande,"<p>Afin d'effectuer votre commande, allez sur <a href=""http://bosapin.com"" title=""http://bosapin.com"">http://bosapin.com</a> et cliquez sur le bouton ""COMMANDER VOTRE SAPIN''. Si vous approuvez des difficultés avec notre site web, SVP nous contacter par téléphone au 1-855-434-3520 ou via le <a href=""https://bosapin.com/pages/contact?question=je-voudrais-commander-un-sapin"" title=""https://bosapin.com/pages/contact?question=je-voudrais-commander-un-sapin"">formulaire de contact</a></p>","<div>Afin d&#39;effectuer votre commande, allez sur <a href=""http://bosapin.com/?ref=kpnamnoz&amp;sub_id=affiliate"" rel=""noopener noreferrer nofollow"" target=""_blank"">http://bosapin.com</a> et cliquez sur le bouton &#34;COMMANDER VOTRE SAPIN&#39;&#39;. Si vous approuvez des difficultés avec notre site web, SVP nous contacter par téléphone au 1-855-434-3520 ou via le <a href=""https://bosapin.com/pages/contact?question=je-voudrais-commander-un-sapin&amp;ref=kpnamnoz&amp;sub_id=affiliate"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a></div>",2025-06-29 22:30:39.561167
c6cWjsVJSmSFOB6g_hE_Jg,com-achat-couronne,Comment commander seulement qu'une couronne?,Comment commander seulement qu'une couronne?,"<p>Vous pouvez commander seulement une couronne si vous le souhaitez. Vous les retrouverez dans la section <a href=""/collections/accessoires"" title=""/collections/accessoires"">Accessoires</a> du site web.</p>","<div>Vous pouvez commander seulement une couronne si vous le souhaitez. Vous les retrouverez dans la section <a href=""https://www.bosapin.com/collections/accessoires"" rel=""noopener noreferrer nofollow"" target=""_blank"">Accessoires</a> du site web.</div>",2025-06-29 22:30:39.561167
WOkGUWmaTy-INSQO4lKu2w,com-sapin-plus-grand,Je veux un sapin plus grand,Je veux un sapin plus grand,"<p>Nous avons des sapins Beaumier Premium qui peuvent mesurer jusqu'à 12pieds de haut. Cependant, pour commander un sapin de plus de 10 pieds, vous devez nous contacter via le <a href=""/pages/contact?question=je-veux-commander-un-sapin-de-plus-de-10-pieds"" title=""/pages/contact?question=je-veux-commander-un-sapin-de-plus-de-10-pieds"">formulaire de contact</a> puisque ces sapins doivent faire l'objet d'une livraison spéciale dû à leur grandeur. </p>","<div>Nous avons des sapins Beaumier Premium qui peuvent mesurer jusqu&#39;à 12pieds de haut. Cependant, pour commander un sapin de plus de 10 pieds, vous devez nous contacter via le <a href=""https://www.bosapin.com/pages/contact?question=je-veux-commander-un-sapin-de-plus-de-10-pieds"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a> puisque ces sapins doivent faire l&#39;objet d&#39;une livraison spéciale dû à leur grandeur.</div>",2025-06-29 22:30:39.561167
BjLY0xEwTiC3jxHZMw89sg,com-annulation,Comment puis-je annuler ma commande?,Comment puis-je annuler ma commande?,"<p>Vous pouvez annuler vous-mêmes votre commande jusqu'à 5 jours avant la date de livraison. Pour ce faire, accédez à cette commande à partir de votre compte client ou à partir du courriel de confirmation de commande qui vous a été envoyé. Ensuite, cliquez sur Annuler la commande. Si vous aviez déjà payé votre commande, vous serez remboursé dans les 5 jours ouvrables. Si vous souhaitez annuler votre commande et que le délai pour l'annulation est terminé, vous pouvez nous contactez via le <a href=""/pages/contact?question=je-veux-annuler-ma-commande"" title=""/pages/contact?question=je-veux-annuler-ma-commande"">formulaire de contact</a> pour que nous annulions la commande pour vous. Veuillez notez que si la commande est annulée moins de 24h avant la livraison, des frais de restockage équivalent à 10% de votre commande ne pourront vous être remboursés. Pour l'annulation d'une commande qui est prévue dans moins de 24h veuillez-nous contactez par téléphone au 1-855-434-3520 le plus rapidement possible.</p>","<div>Vous pouvez annuler vous-mêmes votre commande jusqu&#39;à 5 jours avant la date de livraison. Pour ce faire, accédez à cette commande à partir de votre compte client ou à partir du courriel de confirmation de commande qui vous a été envoyé. Ensuite, cliquez sur Annuler la commande. Si vous aviez déjà payé votre commande, vous serez remboursé dans les 5 jours ouvrables. Si vous souhaitez annuler votre commande et que le délai pour l&#39;annulation est terminé, vous pouvez nous contactez via le <a href=""https://www.bosapin.com/pages/contact?question=je-veux-annuler-ma-commande"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a> pour que nous annulions la commande pour vous. Veuillez notez que si la commande est annulée moins de 24h avant la livraison, des frais de restockage équivalent à 10% de votre commande ne pourront vous être remboursés. Pour l&#39;annulation d&#39;une commande qui est prévue dans moins de 24h veuillez-nous contactez par téléphone au 1-855-434-3520 le plus rapidement possible.</div>",2025-06-29 22:30:39.561167
omy_b_pdR_GScHrz1y5A7w,com-modification-commande,Comment puis-je modifier ma commande?,Comment puis-je modifier ma commande?,"<p>Si vous souhaitez modifier le contenu de votre commande, vous devez annuler votre commande et en passer une nouvelle. Vous pouvez annuler votre commande jusqu'à 5 jours avant la date de livraison. Pour ce faire, accédez à cette commande à partir de votre compte client ou à partir du courriel de confirmation de commande qui vous a été envoyé. Ensuite, cliquez sur Modifier la commande. Remarquez que votre panier d'achat contiendra votre ancienne commande et vous pourrez simplement l'éditer avant de repasser la commande. Si vous aviez déjà payé votre première commande, elle vous sera remboursée dans les 5 jours ouvrables. Si vous souhaitez modifer votre commande et que le délai pour l'annulation est terminé, vous pouvez nous contactez via le <a href=""/pages/contact?question=je-veux-annuler-ma-commande"" title=""/pages/contact?question=je-veux-annuler-ma-commande"">formulaire de contact</a> pour que nous annulions la commande pour vous. </p>","<div>Si vous souhaitez modifier le contenu de votre commande, vous devez annuler votre commande et en passer une nouvelle. Vous pouvez annuler votre commande jusqu&#39;à 5 jours avant la date de livraison. Pour ce faire, accédez à cette commande à partir de votre compte client ou à partir du courriel de confirmation de commande qui vous a été envoyé. Ensuite, cliquez sur Modifier la commande. Remarquez que votre panier d&#39;achat contiendra votre ancienne commande et vous pourrez simplement l&#39;éditer avant de repasser la commande. Si vous aviez déjà payé votre première commande, elle vous sera remboursée dans les 5 jours ouvrables. Si vous souhaitez modifer votre commande et que le délai pour l&#39;annulation est terminé, vous pouvez nous contactez via le <a href=""https://www.bosapin.com/pages/contact?question=je-veux-annuler-ma-commande"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a> pour que nous annulions la commande pour vous.</div>",2025-06-29 22:30:39.561167
91SfcfpKSSSmQrkQWk0jbw,com-annulation-rush,Le livreur sera là bientôt et je dois annuler ou modifier ma commande,Le livreur sera là bientôt et je dois annuler ou modifier ma commande,"<p>Contactez-nous par téléphone au 1-855-434-3520 le plus rapidement possible pour prendre arrangement. Veuillez noter que si la commande est annulée moins de 24h avant la livraison, des frais de restockage équivalent à 10% de votre commande ne pourront vous être remboursés.</p>","<div>Contactez-nous par téléphone au 1-855-434-3520 le plus rapidement possible pour prendre arrangement. Veuillez noter que si la commande est annulée moins de 24h avant la livraison, des frais de restockage équivalent à 10% de votre commande ne pourront vous être remboursés.</div>",2025-06-29 22:30:39.561167
bQy6g-lTQTm0yZRQz7wexg,liv-demenagement,"Je déménage en décembre, puis-je acheter maintenant et changer mon adresse de livraison plus tard?","Je déménage en décembre, puis-je acheter maintenant et changer mon adresse de livraison plus tard?","<p>Si vous connaissez déjà l'adresse à laquelle vous déménagerez, veuillez indiquer cette adresse comme adresse de livraison. Sinon, vous pouvez passer votre commande en utilisant votre adresse actuelle, mais assurez-vous que votre nouvelle maison soit dans nos zones de livraison et avertissez-nous de votre nouvelle adresse via le <a href=""/pages/contact?question=je-veux-modifier-mon-adresse-de-livraison"" title=""/pages/contact?question=je-veux-modifier-mon-adresse-de-livraison"">formulaire de contact</a> au moins 2 semaines avant la livraison puisque les dates de livraison changent d'un secteur à l'autre. </p>","<div>Si vous connaissez déjà l&#39;adresse à laquelle vous déménagerez, veuillez indiquer cette adresse comme adresse de livraison. Sinon, vous pouvez passer votre commande en utilisant votre adresse actuelle, mais assurez-vous que votre nouvelle maison soit dans nos zones de livraison et avertissez-nous de votre nouvelle adresse via le <a href=""https://www.bosapin.com/pages/contact?question=je-veux-modifier-mon-adresse-de-livraison"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a> au moins 2 semaines avant la livraison puisque les dates de livraison changent d&#39;un secteur à l&#39;autre.</div>",2025-06-29 22:30:39.561167
yHzMtArOQviPDcsA7tLiSw,com-courriel-confirmation,Je ne trouve plus mon courriel de confirmation,Je ne trouve plus mon courriel de confirmation,"<p>Contactez-nous via le<a href=""/pages/contact?question=je-ne-trouve-plus-mon-courriel-de-confirmation"" title=""/pages/contact?question=je-ne-trouve-plus-mon-courriel-de-confirmation""> formulaire de contact</a> pour qu'on vous le retourne à nouveau.</p>","<div>Contactez-nous via le <a href=""https://www.bosapin.com/pages/contact?question=je-ne-trouve-plus-mon-courriel-de-confirmation"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a> pour qu&#39;on vous le retourne à nouveau.</div>",2025-06-29 22:30:39.561167
bVRicsZDQXCplp4MTt325g,com-promotion,Y a-t-il une promotion en cours?,Y a-t-il une promotion en cours?,<p>Suivez-nous sur nos médias sociaux et abonnez-vous à notre infolettre pour être à l'affût de nos promotions. </p>,<div>Suivez-nous sur nos médias sociaux et abonnez-vous à notre infolettre pour être à l&#39;affût de nos promotions.</div>,2025-06-29 22:30:39.561167
HddP6qgoTW68W7h52JWYkw,com-promotion-hier,J'ai commandé un sapin hier et la promotion commençait aujourd'hui.,J'ai commandé un sapin hier et la promotion commençait aujourd'hui.,"<p>Vous pouvez annuler votre commande et en repasser une nouvelle. Vous pouvez annuler votre commande jusqu'à 5 jours avant la date de livraison prévue. Pour ce faire, accédez à cette commande à partir de votre compte client ou à partir du courriel de confirmation de commande qui vous a été envoyé. Ensuite, cliquez sur Annuler la commande. Si vous aviez déjà payé votre commande, vous serez remboursé dans les 5 jours ouvrables. </p>","<div>Vous pouvez annuler votre commande et en repasser une nouvelle. Vous pouvez annuler votre commande jusqu&#39;à 5 jours avant la date de livraison prévue. Pour ce faire, accédez à cette commande à partir de votre compte client ou à partir du courriel de confirmation de commande qui vous a été envoyé. Ensuite, cliquez sur Annuler la commande. Si vous aviez déjà payé votre commande, vous serez remboursé dans les 5 jours ouvrables.</div>",2025-06-29 22:30:39.561167
rOd45kPRRlmbu1o6niKLqQ,pai-methode,Quelles sont les méthodes de paiement à la livraison?,Quelles sont les méthodes de paiement à la livraison?,"<p>Si vous payez votre arbre à la livraison, vous pouvez le faire en argent comptant ou avec votre carte de crédit directement avec le soldat de bois (livreur). </p>","<div>Si vous payez votre arbre à la livraison, vous pouvez le faire en argent comptant ou avec votre carte de crédit directement avec le soldat de bois (livreur).</div>",2025-06-29 22:30:39.561167
QEhk1RJGQf-OcILP9c5PlA,,"J'ai choisi de payer à la livraison, mais j'aimerais payer maintenant","J'ai choisi de payer à la livraison, mais j'aimerais payer maintenant","<p>Veuillez nous contacter par téléphone au 1-855-434-3520 et avoir en main vos informations de paiement ou contactez-nous via le <a href=""https://www.bosapin.com/pages/contact?question=je-veux-payer-ma-commande-maintenant"" title=""https://www.bosapin.com/pages/contact?question=je-veux-payer-ma-commande-maintenant"">formulaire de contact</a> et nous vous transférerons par courriel un lien qui vous permettra de faire votre paiement.</p>","<div>Veuillez nous contacter par téléphone au 1-855-434-3520 et avoir en main vos informations de paiement ou contactez-nous via le <a href=""https://www.bosapin.com/pages/contact?question=je-veux-payer-ma-commande-maintenant"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a> et nous vous transférerons par courriel un lien qui vous permettra de faire votre paiement.</div>",2025-06-29 22:30:39.561167
RKa7oZb8QlyWelnEeXYbSg,livraison-1,Quelles sont les zones de livraison?,Quelles sont les zones de livraison?,"<p>Nous couvrons les régions de Montréal, Laval, Ottawa-Gatineau, Basse-Laurentides, Québec, Trois-Rivières, Sherbrooke et une bonne partie de la Montérégie, de Lanaudière et l'Estrie. Pour vérifier si la livraison est offerte pour votre adresse, <a href=""/pages/zones-desservies"" title=""/pages/zones-desservies"">consultez la carte</a> et utilisez notre validateur de codes postaux.</p>","<div>Nous couvrons les régions de Montréal, Laval, Ottawa-Gatineau, Basse-Laurentides, Québec, Trois-Rivières, Sherbrooke et une bonne partie de la Montérégie, de Lanaudière et l&#39;Estrie. Pour vérifier si la livraison est offerte pour votre adresse, <a href=""https://www.bosapin.com/pages/zones-desservies"" rel=""noopener noreferrer nofollow"" target=""_blank"">consultez la carte</a> et utilisez notre validateur de codes postaux.</div>",2025-06-29 22:30:39.561167
